User Login,User ID,Days Active,Total Interactions,Code Generations,Code Acceptances,Acceptance Rate %,LOC Added,LOC Deleted
scarlettsteph07,14980353,27,9,1376,382,27.8,786,6
sirishakonyala123,180574151,10,335,596,13,2.2,4877,1796
michael-oris,247629820,18,131,406,74,18.2,585,92
dbucho-uw,180314885,18,1,390,118,30.3,227,0
migasj-oris,195980080,19,84,343,328,95.6,8499,2207
calebdelv,134324033,11,54,239,40,16.7,339,65
jvweiner-oris,195980172,15,0,233,85,36.5,119,0
danhuang-oris,245071216,15,86,182,0,0.0,0,0
mramawatuw,280492604,14,114,106,2,1.9,931,794
hamidal-uw,183161925,12,0,90,18,20.0,18,0
jodytate-uw,177665796,9,116,45,3,6.7,120,71
bexung,234251149,11,0,9,1,11.1,1,0
swort-uw-edu,237872344,5,4,8,2,25.0,124,0
